17a-dihydroequilin	17a-dihydroéquiline
Left ventricular failure	LVF
Left ventricular hypertrophy	LVH
legal assistance program	programme dassistance juridique
legal reparation of physical injury	reparation legale d'inury physique
leg compression	compression jambière
lense	le zoom
Lesion	Lésion
less-invasive care for some of life's most threatening medical conditions.	une large gamme de produits et services permettant ....
Lethality	Létalité
letting a loss of bone substance continue	laissant persister une perte de substance osseuse
leukaemia	leucémie
leukemia	leucemie
level	niveau
level one tests	analyses de premier niveau
licence to practise	compétence ordinale
Life events	Evénements de la vie
Life expectancy at a given age	Espérance de vie à un âge donné
Life expectancy at birth	Espérance de vie à la naissance
Life expectancy	Espérance de vie
Life style	Style de vie
life sustaining drug	médicament essentiel au maintien de la vie
Life table	Table de survie
life-threatening	engageant le pronostic vital
Lifetime risk	Risque cumulé pendant la vie entière
Likelihood function	Fonction de vraisemblance
Likelihood ratio test	Test du rapport des maximums de vraisemblance
like shitasu	doin
Limited Benefit Clause	Clause limitant létendue des prestations
limited use drug	médicament à utilisation restreinte
Linear model	Modèle linéaire
Linear regression	Régression linéaire
linoleic acid	acide linoléique
lip balm	pommade pour les levres
lipid-enriched cleansing bar	pain surgras
Lipid	Lipide
lip piercing	piercing a la levre
lipping	becs de perroquet
liquid ounce	once liquide
Liquid soap	Savon liquide
listening therapy	thérapie découte
Live birth	Naissance vivante
liver disease	maladie de foie
liver disease	maladie du foie
liver	foie
liver function tests	exploration fonctionnelle hépatique
liver or kidney failure	disfonctionnement du foie ou du rein
Local allergic reaction	Réaction allergique locale
local anaesthesia	anesthésie locale
Local edema	Oedème local
localized areas that cause delay in activation of the myocardium	des zones qui laissent mal se propager les impulsions
Local management	Traitement local
Loculi	loges
Locus	Locus
Logistic model	Modèle logistique
Logit	Logit
Logit model	Modèle du logit
Log-linear model	Modèle log-linéaire
Log-normal distribution	Distribution log-normale
lometpos	cinetose
Longitudinal study	Etude longitudinale
Long Procotol Dosing	Protocole long
Long-term ailment	LTA
Long term booster immune memory	réactivation de l'immunité mémoire à long terme par un rappel
long-term	de longue durée
Loop of Henle	Anse de Henle
loose consciousness	conscience desserré
loosening	descellement
loss-in-weight	dépesée
loss of balance	perte d'équilibre
loss of consciousness	Perte de connaissance
loss of sex-drive	baisse de la libido
low anterior resection	résection antérieure basse
low back pain	douleurs de la région lombaire
low back pain	douleurs du bas du dos
Low birth weight	Poids faible à la naissance
low blood sugar	hypoglycémie
low-calorie	hypocalorique
low energy	faible énergie
lower back pain	douleur lombalgies
lower extremity pain	douleurs des membres inférieurs
Lower left limb	LLL
Lower limbs	LL
lower limbs	membres inférieurs
lower limbs	membres inferieurs
Lower right limb	LRL
Low Molecular Weight Heparin	héparine de bas poids moléculaire
Low molecular weight heparin	LMWH
low porosity	faible porosité
low sperm count	spermicoide
low sperm	oespermie
low thyroid function	hypothyroïdie
L-tryptophan	L-tryptophane
lumbar	lumbaire
lumbar puncture	ponction lombaire
lumbar support belt	ceinture de maintien lombaire
lumber ribs	Please read : Lumbar ribs
lumbosacral fusion	arthrodèse lombo-sacrée
Lumbosacral Radiculopathy	radiculopatie lombaire et sacree
lump	bosse
lung abscess	abcès pulmonaire
lung cancer	cancer du poumon
lung clots	embolie pulmonaire
lung disease	maladie pulmonaire
lung	le poumon
lungs	poumons
Lung Volume Reduction Coil	Coil de réduction du volume pulmonaire
lunotriquetral interval	intervalle luno-pyramidal
lyme disease	maladie de Lyme
lymph capillary	capillaire lymphatique
lymph node capsule	capsule ganglionnaire
lymph nodule	follicule lymphatique
lymphoid follicle	follicule lymphoïde
Lymphoma	Lymphome
lymphoproliferative malignancies	tumeurs lymphoprolifératives
Macrophage	Macrophage
Macular eruption	Éruption maculaire
Macule	Macule
Madelung's deformity	carpocyphose
magnesium citrate	citrate de magnésium
mail order pharmacy	système de pharmacie par correspondance
maintenance and platform storage	manutention et mise sur terre-plein
maintenance dose	dose d'entretien
Malaria endemicity	Endémicité du paludisme
malaria	paludisme
Malaria patent period	Période de parasitémie paludéenne
Malaria periodicity	Périodicité du paludisme
Malaria reproduction rate	Transmission paludéenne en zone non impaludée
Malaria survey	Enquête sur le paludisme
male menopause	andropause
male-pattern alopecia	alopécie hippocratique
male-pattern alopecia	alopécie séborrhéique masculine
male pattern baldness remedy	remèdes pour la calvitie masculine
Malignant melanoma	Mélanome malin
malignant skin cancer	cancer malin de la peau
mameography	mameographie
mammal	mammifère
Mammary eczema	Eczéma mammaire
Mammary implant	Implant mammaire
Mammary	Mammaire
mammary ridge	crêtes mammaires
Mammary tissue	Tissu mammaire
mamogram	mamographie
managed care formulary	formulaire de soins cogérés
Management	Management
management of neuropathic pain	gestion des douleurs liées aux neuropathies
mandibular cartilage	cartilage de Meckel
Manifestational variable	Variable dépendante
manipulation	arthrocinèse
Mantel-Haenszel estimate	Estimation de Mantel-Haenszel
Mantel-Haenszel odds ratio	Rapport des cotes de Mantel-Haenszel
Mantel-Haenszel test	Test de Mantel-Haenszel
manufacturer	fabricant
many causes	causes multiples
marginal branch of left coronary artery	marginale artérielle
marginal branch of left coronary artery	marginale gauche
marginal branch of left coronary artery	première marginale
Margin of safety	Marge de sécurité
market sensing	sensibilité au marché
Markov process	ChaÓne de Markov
Mass screening	Dépistage de masse
mastitis carcinosa	mastite carcinomateuse
masturbation	masturbation
Matched controls	Témoins assortis
Matching	Assortiment
Maternal death	Décès maternel
Mathematical model	Modèle mathématique
mating	accouplement
max allowable rate of increase per time	En une fois
maximum allowed fee	honoraires professionnels maximums admissibles
Maximum likelihood estimate	Estimation selon le maximum de vraisemblance
maximum rolling dollar limit	le remboursement total maximal en dollars ??
Maximum saturated carboxylation rate	Cmax
McNemar's test	Test de McNemar
meals	repas
mealtimes	heures des repas
mean corpuscular hemoglobin concentration	C.C.M.H.
mean corpuscular volume	MCV
mean platelet volume - MPV	volume plaquettaire moyen - VPM or VPLM
Mean pre-dose FEV1	VEMS pré-dose moyen
measles	rougeole
Measles	Rougeole
measles	rubeole
Measurement	Mesure
Measurement scale	Echelle de mesure
Measure of agreement	Mesure d'accord
Measure of association	Mesure d'association
Measure of dispersion	Mesure de dispersion
Measure of frequency	Mesure de fréquence
Measure of impact	Mesure d'impact
Measure of interaction	Mesure d'interaction
Measures of central tendency	Mesure de tendance centrale
Measuring psoriasis	évaluation du psoriasis
mechanical lavage	lavage mécanique
Mechanical transmission	Transmission mécanique
Median	Médiane
mediated by	médié par
mediated dUTP nick-end labeling staining	méthode TUNEL
Medical advice	Avis médical
Medical audit	Audit médical
Medical care	Soins médicaux
medical device	dispositifs médicaux
medical devices	des dispositifs médicaux
medical history	antécédents médicaux
medical illness	affection
medical oncology	cancérologie médicale
Medical record	Dossier médical
Medical statistics	Statistiques médicales
medical ultrasound community	le monde de l'échographie médicale
medical underwriter	tarificateur de risques médicaux
Medical Underwriting Dept.	Service de souscription médicale
medication administration route	Voie dadministration
medicinal products	produits pharmaceutiques
Medicines Act	loi sur les médicaments
medigap policy	police écart
medium spectrum antibiotics	antibiotique à spectre moyen
meibomian cyst	chalazion
meibomian gland	glande de Meibomius
Melanin	Mélanine
Melanoma	Mélanome
melanoma	mélanome
mellitus diabetes	diabete sucré
melolabial fold	pli nasolabial
membrane filtration process	traitement de type membranaire
Mendel's law	Lois de Mendel
menisous	menisque
menopause	ménopause
mental activity	activité mentale
mental deficiency	déficience mentale
Mental Health	Santé mentale
mesenteric artery	artère mésentérique
Meta-analysis	Méta-analyse
metabolism	métabolisme
metal backed	avec renforcement métallique
metaphyseal dysostosis	dysostose métaphysaire
metaphysis chondrodysplasia	chondrodysplasie métaphysaire
Metastatic melanoma	Mélanome métastatique
Methodology	Méthodologie
method sheet	feuille de procédures
Methylphenidate	Méthylphénidate
Metoclopramide	Métoclopramide
Miasma theory	Théorie des miasmes
Mibefradil Dihydrochloride	Mibéfradil dichlorhydrate
microculture plate	culture cellulaire sur microplaque
micro-organism	germe
mid portion of the hepatic pedicle	partie moyenne du pédicule hépatique
Mifepristone	Mifepristone
migraine	migraine
Migrant studies	Etudes de populations migrantes
mild	bénin
mild	discret
mild ICU delirium	delirium des soins
Mild skin irritation	Irritation cutanée
milk	lait
Mill's canons	Lois de Mill
Minimum data set	Ensemble minimal de données
Minor abrasion	Lésion mineure
Minor burn	Brûlure superficielle
Minor calyx	Calice mineur
minor cartilages	cartilages accessoires
minor cartilages	cartilages sésamoïdes
Misclassification	Classification erronée
Misoprostol	Misoprostol
missed menses	absence de règles
mistaken diagnosis	erreur de diagnostic
misuse	emploi abusif
Mites	Acariens
Mitosis	Mitose
mitral regurgitation	fuites auriculaires
mobile dosing services	unité mobile de distribution de traitement de substitution
mock drill	exercice de simulation
Model Code for the Protection of Personal Information	Code type sur la protection des renseignements personnels  ???
Model	Modèle
Mode	Mode
mode of onset	mode de survenue
moderate	modéré
moderate to severe chronic shift work sleep disorder	troubles modérés à sévères de l'endormissement
Moderator variable	Variable modifiante
Modification	Modification
modified apocrine glands	glandes apocrines modifiées
Moisturizing cream	Crème hydratante
Moisturizing emulsion	Emulsion hydratante
monitoring	contrôle
Monitoring	Monitorage
mono or strep	mononucléose ou streptocoque
monophasic E wave	Onde E exclusive
Monotonic sequence	Suite monotone
mood	humeur
Morbidity	Morbidité
Morbidity rate	Taux de morbidité
Morbidity survey	Enquête de morbidité
morphine sulfate	MS direct
Mortality rate	Taux de mortalité
Mortality statistics	Statistiques de mortalité
Most active drug	Médicament plus actif
most likely to choose	le plus disposé à choisir
mother cell	cellule mère
motor examination	examen moteur
motor impairment	déficit moteur
motor neuron diseaswe	maladie de neurone moteur
motor system	appareil moteur
Motor vehicle accident	MVA
mouth wash	collutoire
mucinosis	alopécie mucineuse de Pinkus
mucous plug	bouchon muqueux
mucuous sheath	gaine séreuse
muffled	etouffe
Multicollinearity	Co-linéarité multiple
Multidisciplinary Intensive Care Unit	Service de réanimation polyvalente
multidisciplinary meeting	RCP
Multifactorial etiology	Etiologie multifactorielle
multi-focal lens implants	implants cornéens à foyer progressif
Multinomial distribution	Distribution multinomiale
Multiphasic screening	Dépistage multiphasique
Multiple causation	Etiologie multifactorielle
Multiple logistic model	Modèle de régression logistique
multiple procedural drugs	Il s'agit de nécessaires ou kits pour anesthésie épidurale ou
Multiple regression	Régression multiple
Multiple risk	Multiples facteurs de risque
multiple sclerosis	sclérose en plaque
multiple tumours	tumeurs multiples
Multiplex families	Familles multiplexes
Multiplicative model	Modèle multiplicatif
Multiresistant bacteria	MRB
Multistage model	Modèle multistade
Multivariate analysis	Analyse multivariée
mumps	oreillons
murmur	souffle de coeur
muscle cell	cellule musculaire
muscle disorders	troubles musculaires
muscle fatigue or strain	fatigue musculaire
muscle relaxant	relaxant musculaire
muscle spasm	spasme musculaire
muscle spasms	spasmes musculaires
muscle strain	tension de muscle
muscle wasting	atrophie musculaire
muscular disease	affection musculaire
muscular dysstrophy	dystrophie musculaire
muscular fibre	fibre musculaire
muscular pain	douleurs musculaires
Mutation	Mutation
Mutation rate	Taux de mutation
Mutually exclusive classes	Classes mutuellement exclusives
myalgia	douleur musculaire
My co-pay is too high	ticket modérateur ou franchise
myelinated axon	axone myélinisé
myelin sheath	gaine de myéline
myeloproliferative	myéloprolifératif
myelosuppression	dépression médullaire
myelosuppression	insuffisance médullaire
Myocardial infarction	MI
myocardial ischaemia	ischémie myocardique
myocardial ischemia	MI
myodegeneration	dégénérescence musculaire
myodystrophy	dystrophie musculaire
myofascopathy	douleur myofasciale
myofibroma	fibromyome
myotrophy	amyothrophie
naevus	naevus
nail biting	habitude de se ronger les ongles
nail groove	gouttière unguéale
Nail	Ongle
named-patient programme	ATU nominative
naming	Dénomination
narrow QRS complexes	complexes QRS fins
nasal cartilages	cartilages du nez
National Pricing Policy	politique nationale de fixation des prix
Natural history of disease	Expérimentation naturelle
Natural history study	Histoire naturelle de la maladie
Nausea	NAUSEE
Necessary and sufficient cause	Méthode du voisin le plus proche
neck brace	orthèse cervicale rigide
neck	collet
necrosis of the heart muscle	nécrose du muscle
needle	aiguille
Needs	Cause nécessaire et suffisante
Nefazodone	Néfazodone
nef reading frame	cadre de lecture complet de la protéine nef
negative enrollment	condition dadhésion négative
Neonatal mortality rate	Besoins
Neonatal period	Taux de mortalité néonatale
Nephrectomy	Néphrectomie
nephritis	nephrite
Nephrolithiasis	Néphrolithiase
nephrologist	nephrologue
Nephrology	Néphrologie
nephrostomy tract	trajet de néphrostomie
nerve cell	cellule nerveuse
nerve fibre	fibre nerveuse
nerve tract	faisceau nerveux
nervous system	système nerveux
Nested case control study	Période néonatale
Net migration	Etude cas-témoins au sein d'une cohorte
Net migration rate	Migration nette
Net reproduction rate	Taux net de migration
netrofil inhibitor factor	nif
Nettle-rash	Urticaire
neuritis	neurirte
neurodiagnostic  electrodes non disposable	électrode neurodiagnostique non jetable
neurogenic	d'origine nerveuse
neuroglia cell	cellule névroglique
neurological deficit	déficit neurologique
neurological examination	examen neurologique
neuromuscular blocking agent	curare
neuropathic pain	douleurs d'origine nerveuse
neutron beam	faisceau de neutrons
newborn	nouveau-né
New York Heart Association	NYHA
next generation sequencing	séquencage de prochaine génération
Niacin	Niacine ou vitamine B3
night feeds	repas de nuit
nightlight	veilleuse
nightmares	cauchemars
night terrors	terreurs nocturnes
nipple	mamelon
nitrates	dérivés nitrés
Nits	Lentes
nocturnal confusion	confusion nocturne
node	ganglion
no detectable blast cells	pas de cellules d'aspect blastique
no imaging evidence	sans traduction TEMP-TDM en regard
Nomenclature	Nomenclature
Nominal scale	Echelle nominale
Nomogram	Nomogramme
Nonconcurrent study	Etude de cohorte historique Etude de cohorte rétrospective
Nondifferential misclassification	Erreur de classification non différentielle
non-haemorrhagic neurological event	accident neurologique
Non-insulin-dependent diabetes	NIDD
non-osteogenic fibroma	fibrome non ostéogénique
Nonparametric methods	Méthodes non paramétriques
Nonparametric test	Test non paramétrique
non-pyrogenic	apyrogène
non-responding apneas	apnées réfractaires
normal behaviour	comportement normal
normal bradycardia	bradycardie naturelle
Normal breath sounds	NBS
Normal distribution	Distribution normale
normal laboratory values	constantes biologiques
Normal limits	Limites normales
normal pressure hydrocephalus	hydrocéphalie à pression normale
Normal skin	Peau normale
Normal value	nv
Norm	Norme
normothermia	normothermie
nose spray	pulverisateur
nosey cup	verre decoupe pour le nez
Nosocomial infection	Infection acquise à l'hôpital - infection nosocomiale
no specific apical involvement	sans atteinte élective apicale
Nothing to report	NTR
Notifiable disease	Maladie à déclaration obligatoire
No traumatic bone lesion	NTBL
no treatment failure	pas d'échappement
no trophic or motor function changes in the right lower limb	point de trophicité ou de motricité du MID
Not yet discharged as of:	Toujours présent le:
Not yet discharged as of:	Toujours présent le
no-win situations	impasse
N-terminally truncated fragments and the influence of this cleavage on the funct	fragments tronqués en N-terminal et troncature pour cleavage
Nuclear Magnetic Resonance	NMR
nuclear research reactor	réacteur de recherche nucléaire
nucleic acid	acide nucléique
Null hypothesis	Hypothèse nulle
number of atrial impulses conducted to the ventricles	nombre dimpulsions transmises
numbness	engourdissement
Numerator	Numérateur
Numerical taxonomy	Taxinomie numérique
nurse practioner	infirmier practicien
nursing mother	mère allaitante
nutritional elements	éléments nutritifs
oats	avoine
obesity	obésité
Obliterating Arteriopathy of the Lower Limbs	OALL
OBrien-Fleming type boundary at a 1-sided cumulative 2.5% level of significance	frontière de type O'Brien et Fleming
Observational study	Etude d'observation
obsessive-compulsive behaviour	comportement compulsif -obsessif
obstruction	occlusion intestinale
obstructive sleep apnea	apnée obstructive du sommeil
Obstructive sleep apnea syndrome	OSAS
obturator	calibreur
occlusal equilibration	équilibrage docclusion
Occlusion of the middle third of the RCA in a non-dominant RCA	Occlusion CD 2 sur CD dominée médicale
occult blood	hemmoragie occulte
occult blood	hemorragie occulte
occupational dermatitis	dermatite professionnelle
occupational therapist	therapie de maladie professionelle
occupational therapy	ergothérapeute
occupational therapy	érgothérapie
Occupation	Santé au travail
occupy the receptor sites	se fixent sur les sites
ocular disease	maladie oculaire
Odds	Cote
Oedema	Oedème
off-label	hors indication
off-label indication	indication hors AMM
of reproductive age	en âge de procréer
Ointment acne	Acné à la vaseline
Ointment	Pommade
oleic acid	acide oléique
oligosaccharide	oligosaccharide
Oliguria	Oligurie
on average	en moyenne
on-board capacity	capacité de chargement
oncologue	oncologist
one-step dosing	Littéralement : administration en une fois
One-tail test	Test de signification unilatéral
Online Administration Services	Services administratifs en ligne
On-line real time drug utilization review	Examen de la consommation pharmaceutique en direct et en temps réel
on the assumption of maximum reimbursement	dans l'hypothèse maximaliste
onychectomy	ablation d'un ongle
Open-ended question	Question ouverte
Open formulary	Formulaire des médicaments acceptés
open-label study or trial	essai ouvert
open surgery	chirurgie sanglante
open surgical technique	mise à plat greffe
Operational research	Recherche opérationnelle
operation	fonctionnement
Operations research	Recherche opérationnelle
operative dependencies	ses unités et services
Opportunistic infection	Infection opportuniste
opposing mechanisms of action	mécanismes d'action contradictoires ou antagonistes
oral antibiotics	antibiotiques per os
Oral antidiabetics	OAD
oral capsule	capsule par voie orale
oral contraceptive	contraceptif oral
oral contraceptives	contraceptifs oraux
oral liquid	buvable
orange peel effect	peau d'orange
orders that execution of the sentence of imprisonment be suspended	ordonne qu'il sera sursis à l'exécution de la peine d'emprisonnement
Ordinal scale	Echelle ordinale
Ordinance on requirements concerning medicinal products	OÉmed
Ordinate	Ordonnée
oriented by a suture	orientée par un fil
original	d'origine
originating in the atria	oreillettes en cause
Osmosis	Osmose
osteitis	ostéites
osteoarthritis of hip	coxarthrose
osteoarthritis of the knee	gonarthrose
osteoarthritis	ostéoarthrite
osteogenesis imperfecta	fragilité osseuse constitutionnelle
osteogenic fibroma	fibrome ostéogénique
osteomyelitis	osteomyelite
osteoporosis	ostéoporose
osteotendinous reflexes	reflexes ostéo-tendineux
ostial disease	pathologie ostiale
otitis media	otite moyenne aiguë
outbreak	flambée
outbreak of sweat	hypersudation
Outcome variable	Variable dépendante
Outgrowth	Excroissance
outline of benefits	description des prestations
outpatient	consultant externe
out patient	malade ambulatoire
outpatient physician coverage	couverture des soins médicaux ambulatoires
outpatient's treatment	traitement de sortie
outpatient study	étude en ambulatoire
outpout	débit
ovarian cancer	cancer de lovaire
ovarian cancer	cancer de l'ovaire
ovarian	ovariènne
oveitis	ov`eites
Overactive Bladder	Vessie hyperactive
over-activity	excès d'activité
over and above	en plus de
overdenture	prothèse hybride
Overdose	Surdosage
Overestimation	Surestimation
overlying loops	superposition des anses intestinales
overnight stay	séjour de nuit
overpricing	surfacturation
overt	franc
over-the-counter drugs	médicaments en vente libre approuvés
Over The Counter	OTC
over the counter	sans ordonnance
over use	depassement
oxygen deprivation	manque doxygène
pacing device	stimulateur  cardiaque
pacing therapies	cardiostimulation ...
package	emballage
pack-year	PY
pacquet liver	foie ficelé
pad	compresse
paddles	palpateuse
pain clinic	centre anti-douleur
pain	douleur
Pain	Douleur
pain	douleur
painful	douloureux
pain killer	antalgique
Pain reliever	Analgésique
paired-eye comparison study	Etude comparative exploratoire multicentique versus placebo sur 6 mois ...
Paired samples	Echantillons appariés
Pairing	Appariement
palate	palais
pale-faced	blemies
palmar fascia	aponévrose palmaire
palmitic acid	acide palmitique
palpation over the facet joints of mid cervical region	palpation en regard des massifs antérieurs de la région cervicale moyenne
palpebral	palpébral
palsy	paralysie
pancreatic cancer	cancer du pancréas
pancreatitis	pancreatite
pancreatitis	pancréatite
pantothenic acid	acide pantothénique
Paradigm	Paradigme
paradigms or models of domains involved	Les paradigmes des disciplines mobilisées
paralyzed	paralize
Parameter	Paramètre
Parametric test	Test paramétrique
paranasal sinus surgery	chirurgie des sinus paranasaux
paraplegia	parapléegie
Parasite count	Décompte des parasites
Parasite density	Densité des parasites
Parasite	Parasite
parasites	symphilisme
Paratenic host	Hôte intermédiaire d'un parasite
parathyroid glands	parathyroide glandulaire
Parenchyma	Parenchyme
parenchyma	parenchyme
parental 1012 DNA vaccine	souche parentale 1012
paresis	parésie
parietal pericardium	feuillet pariétal du péricarde
Parity	Parité
Parkinson's disease	madie de Parkinson
partial colour blindness	fausse perception des couleurs
partial thickness incision	incision d'épaisseur partielle
Participant in the public hospital service	PPHS
Particularisation	Particularisation
partitioning	partage
Passage	Passage
Passenger variable	Variable dépendante concomitante
Passive smoking	Fumer involontairement
Passport to Health™	Passport to Health™
patch	timbre
patellar bursa	bourse pré-rotulienne
patellofemoral	fémoro-patellaire
patency	béance
Patent Act	Loi sur les brevets
Patent Protection Law	Loi sur la protection par brevet
Path analysis	Analyse des réseaux
Pathogenesis	Pathogenèse ou pathogénie
pathogenic bacteria	bactéries pathogènes
Pathogenicity	Pathogénicité
Pathogen	Pathogène
pathogens	agent pathogène
pathological changes	altérations pathologiques
pathway	Filière
pathway	parcours
pathway	trajet
patient bleep	alerte patient
Patient ID number	PIN
patient	malade
patient pathway	parcours du patient
patient record book	carnet de liaison
patient reportings	comptes rendus de patients
patients with histologically documented advanced or recurrent	voir explication
pattern	aspect
pattern	disposition
pavement cell	cellule pavimenteuse
payable by the patient	mis á charge du patient
payor	les organismes payeurs
PDE5 Inhibitor	Inhibiteur de la PDE5
PDE5 Inhibitors	Inhibiteurs de la PDE5
Peak Expiratory Flow Time PEFT	Débit expiratoire de pointe
peak flow	flux culminant
peak kilovoltage	valeurs de tension de crête en kilovolts
Peak systolic velocity	PSV
Pearson's product moment correlation	Coefficient de corrélation de Pearson
pectoral girdle	ceinture scapulaire
pectoral girdle	ceinture thoracique
pedal oedema	oedème du pied
pedial pulse	Pouls pédieux
pedicle graft	greffon pédiculé
pedicle walls	'les parois du pédicule'
pediculate	pédiculé
Pedigree	Pedigree
Peer review	Revue par les pairs
pelivc	pelvien
pelvic cavities	cavités pelviennes
pelvic floor muscle group	chaînes sous-pelviennes
pelvic girdle	ceinture pelvienne
pelvic inflammatory disease	maladie incendiaire pelvienne
pelvic	pelvien
Penetrance	Pénétrance
Penicillin resistant staphylococci	Staphylocoques résistants à la pénicilline
pentaerytrityltetranicotinate	nicéritrol ou tétranicotinate de pentaérythrityle
People are under the extremely seriously mistaken impression	tout le monde croit à tort que
peptic	pepsique
peptic ulcer	ulcere digestif
Perceived need	Besoin perÁu
Percentile	Percentile
percutaneous transluminal coronary angioplasty	angioplastie coronarienne percutanée transluminale
percutaneous transluminal coronary angioplasty	PTCA
perequisite	condition sine qua non
perforation of the ear drum	signe de l'oreille
performance evaluation	évaluation de performance
performance monitor	moniteur de performance
performed by cervicotomy	réalisée par cervicotomie
perfused	perfusé
pericardial cavity	cavité péricardique
Pericarditis	Péricardite
perigraft leak	fuite périprothétique
Perimetry indices	Critères périmétriques
perinatal mortality	mortalité périnatale
Perinatal mortality	Mortalité périnatale
Perinatal mortality rate	Taux de mortalité périnatale
Perinatal period	Période périnatale
Perineal anus	Anus périnéal
perineural fibrosis	remaniement fibrovasculaire périnerveux
Period of communicability	Période de transmissibilité
Perirenal fat	Graisse périrénale
peritoneal abscess	abcès péritonéal
Peritoneal dialysis	Dialyse péritonéale
Peritoneum	Péritoine
peritonism	péritonisme
periurethral bulking agents	agents de comblement urétral
permanent changes	altérations définitives
permanent changes	altérations permanentes
pernicious anemia	pernicieux anemie
Personal health care	Soins de santé individuels
Personal hygiene	Hygiène intime
Personal Information Protection & Electronic Documents Act	Loi sur la protection des renseignements personnels et les documents électroniques
Personal monitoring device	Equipement de monitorage individuel
personal support worker	travailleur de soutien personnel
Person-time at risk	Personne-temps à risque
Person-time	Personne-temps
Person-to-person spread of disease	Transmission de la maladie de personne à personne
Person-years	Personnes-années
Perspiration	Transpiration
Perte de connaissance - loss of consciousness	PC
perversion	pervertissement
Petri dish	boîte de Pétri
petty cash	fonds de caisse
Phamaceutical White Oil WP 60	Emulsion WP 60
pharmaceutical and chemical companies	l'industrie pharmaco-chimique
Pharmaceutical Microbiology unit	Unité de Pharmaco-microbiologie
Pharmacoepidemiology	Pharmacoépidémiologie
Pharmacy Benefit Management System	système de gestion des prestations pour pharmacie
Pharmacy on-line adjudication system	système en direct de règlement des demandes avec les pharmacies
phase II study	étude de phase II
Phentermine	Phentermine
Phenylpropanolamine	Phénylpropanolamine
Phenylpropanolamine	Phénylpropanolamine ou noréphédrine
Phenytoin	Phénytoïne
phial	ampoule
phials to be taken orally	ampoules buvables
phlebitis	phlébite
phosphodiesterase inhibitor	inhibiteur de la phosphodiestérase
Photo-aging	Photo-vieillissement
Photochromic	Photochromique
photogreymd	lentille photochromatique
Photosensitisation	Photosensibilisation
Photosensitive rash	Eruption photosensible
Photosensitivity	Photosensibilité
physical activity	activité physique
physical and neurological examination	examen physique et neurologique
physical chemistry	physico-chimie
physically demanding	pénibilité
physical therapy	physiotherapie
physician performing the procedure	médecin réalisateur
pick up your treatment plan.	prendre votre gestion
Picornaviridae	picornaviridés
Pie chart	Diagramme en secteurs
Pigment	Pigment
pilary canal	canal pilaire
pilary gland	glande pilaire
Pilary	Pilaire
Pill	Pilule
pilo-erection	horripilation
pilosebaceous canal	canal pilo-sébacé
pilosis	hirsutisme
Pilosity	Pilosité
pin	broche
pinched nerve	nerf pincé
pins or hooks	tuber ischii ou tuber coxae
pins	tiges
pituitary gland	hypophyse glande
placenta covering	barrière placentaire
Place of birth	Lieu de naissance
place stresses	fatiguer
Plain abdominal x-ray	PAX
PlanProtect	Protect-régime
Plantar reflex	PR
plasma half life	hémi-vie du plasma
plaster cast	appareil plâtré
plaster jacket	corset platré
platelet aggregation	agrégation plaquettaire
platelet count	numération formule plaquettaire
platelets	plaquettes
platinum agent	dérivé du platine
pleural cavities	cavités pleurales
pleural effusion	épanchement pleural
pleural endothelioma	endothélium pleural
pleurisy	pleurésie
plex	Plex
plug	bouchon
pneumonia	pneumonie
pocket card	aide-mémoire
Point source epidemic	Epidémie de source ponctuelle
Poisson distribution	Distribution de Poisson
polio vaccination	vaccin anti-poliomyélitique
Pollution	Pollution
polyarticular gout	goutte polyarticulaire
polycistic kidney disease	maladie poloyskique de reins
polycystic kidney disease	maladie de rein polycystic
Polycystic kidney disease	Polykystose rénale
Polygenic inheritance	Transmission héréditaire polygénique
polymastia	polymastie
polymyositis	polymyosite
polythelia	polythélie
Ponderal index	Indice pondéral
Pontage artere interventriculaire antérieure	PIVA
pooled urine	Urines de 24 heures
poor nutrition	malnutrition
Population at risk	Population à risque
Population excess rate	Taux en excès dans la population
Population medicine	Médecine de population
Population momentum	Potentiel d'accroissement de la population
Population	Population
Population pyramid	Pyramide de la population
positive enrollment	condition dadhésion positive
possible increased responsiveness	possibilté de sensibilité augmentée au myorelaxant
post-concussion	commotion tranatisme
Posterior probability	Probabilité a posteriori
Posterior wall	PW
post-market drug safety & effectiveness	innocuité et efficacité des médicaments
postmarketing experience	Ce sont les deux.
Postmarketing surveillance	Surveillance après vente
post-menopausal women	femmes ménopausées
postmortem examination	examen post-mortem
Postneonatal mortality rate	Taux de mortalité post-néonatale
post-prandial plasma glucose level	niveau de glycémie veineuse post-prandiale
post traumatic syndrome	syndrome de stress post-traumatique
posture	attitude
posture	maintien
potassium ions	ions K
Pott's fracture	fracture de Dupuytren
potty	pot de chambre
pouch	cul-de-sac
pounding heartbeats	les palpitations
powdered milk	lait en poudre
power-propelled drive system	système d'entraînement mécanique
Power	Puissance
Pragmatic study	Etude pragmatique
PRBCs	culots globulaires
pre-adressed mailer	enveloppe pré-adressée
preaortic lymph node	ganglion pré aortico pulmonaire
Precancerous melanosis of Dubreuilh	Mélanose circonscrite
Precision	Précision
preclampsia	eclampsisme
precluding	empêchant
Precursor	Précurseur
Predictive value of a negative test	Valeur prédictive d'un test négatif
Predictive value of a positive test	Valeur prédictive d'un test positif
Predictive value	Valeur prédictive
predisposing factor	facteur prédisposant
pre-eclampsia	pré-eclampsia
preexcitation syndrome	syndrome de pré-excitation
preferential uptake	captage préférentiel
